rank,feature,importance,importance_normalized
1,detection_rate,0.12781425995109877,0.12781425995109874
2,snr_proxy,0.1171571714284717,0.11715717142847167
3,hr_psd_quality,0.09212430685020517,0.09212430685020516
4,rmssd_ms,0.08650111319953528,0.08650111319953527
5,sd1_ms,0.07682880599396276,0.07682880599396275
6,pnn50,0.0506026985215842,0.05060269852158419
7,sdnn_ms,0.05006218235140204,0.05006218235140203
8,prv_min_hr_bpm,0.04882083869288682,0.04882083869288681
9,ibi_std_ms,0.040586351121059565,0.04058635112105956
10,mean_hr_bpm,0.039465473008085075,0.03946547300808507
11,total_power,0.03930108310356867,0.03930108310356866
12,hf_power,0.034470159335409756,0.03447015933540975
13,prv_mean_hr_bpm,0.025223735252570052,0.025223735252570045
14,sd2_ms,0.0251310674206993,0.02513106742069929
15,lf_hf_ratio,0.02173076275756819,0.021730762757568186
16,n_peaks,0.02103832650236338,0.021038326502363376
17,peak_rate_per_sec,0.020587816102235472,0.02058781610223547
18,sd1_sd2_ratio,0.01920632912328997,0.019206329123289966
19,ibi_mean_ms,0.017742779779302817,0.017742779779302813
20,ibi_median_ms,0.017465181563292645,0.01746518156329264
21,lf_power,0.01684169325422111,0.016841693254221107
22,prv_max_hr_bpm,0.011297864687187315,0.011297864687187313
23,fps,0.0,0.0
