rank,feature,importance,importance_normalized
1,sd1_sd2_ratio,0.11726544146625763,0.11726544146625766
2,rmssd_ms,0.09299243795110199,0.092992437951102
3,sd1_ms,0.08999787539258357,0.08999787539258358
4,sd2_ms,0.08034019858563952,0.08034019858563954
5,sdnn_ms,0.06721519846600724,0.06721519846600725
6,ibi_std_ms,0.06570827138196876,0.06570827138196877
7,pnn50,0.062097214988264204,0.06209721498826422
8,prv_min_hr_bpm,0.058392017338008306,0.05839201733800832
9,mean_hr_bpm,0.052824610153315396,0.05282461015331541
10,hf_power,0.0485354937713668,0.04853549377136682
11,total_power,0.04401736393405399,0.044017363934054
12,peak_rate_per_sec,0.036137387129579826,0.03613738712957983
13,lf_power,0.03211097608800208,0.032110976088002084
14,prv_mean_hr_bpm,0.030876751281564047,0.030876751281564054
15,n_peaks,0.030211083553855204,0.03021108355385521
16,ibi_mean_ms,0.02992208536450856,0.029922085364508567
17,lf_hf_ratio,0.028889853661991403,0.02888985366199141
18,ibi_median_ms,0.02381105372773389,0.023811053727733896
19,prv_max_hr_bpm,0.008654685764197353,0.008654685764197355
