rank,feature,importance,importance_normalized
1,rmssd_ms,0.11974967244450896,0.11974967244450897
2,sd1_ms,0.11357843670078338,0.1135784367007834
3,prv_min_hr_bpm,0.07774167747100609,0.0777416774710061
4,pnn50,0.07010023215619288,0.07010023215619289
5,sdnn_ms,0.06542157557045364,0.06542157557045365
6,hf_power,0.06228158127202661,0.06228158127202662
7,mean_hr_bpm,0.05962373729845378,0.059623737298453786
8,ibi_std_ms,0.05796663054113567,0.057966630541135676
9,total_power,0.0551676684680879,0.055167668468087905
10,sd2_ms,0.05208097332804989,0.052080973328049895
11,sd1_sd2_ratio,0.038127581091398195,0.0381275810913982
12,ibi_mean_ms,0.03479201300827101,0.03479201300827102
13,prv_mean_hr_bpm,0.03273588858575496,0.03273588858575497
14,peak_rate_per_sec,0.03272194370621382,0.03272194370621383
15,lf_hf_ratio,0.0326025931762334,0.03260259317623341
16,n_peaks,0.02964542722158339,0.029645427221583392
17,ibi_median_ms,0.02806455160856247,0.028064551608562475
18,lf_power,0.02648971194359159,0.026489711943591593
19,prv_max_hr_bpm,0.011108104407692306,0.011108104407692308
